Name,M1,M10,M12,M13,M14,M15,M17,M18,M19,M2,M21,M22,M23,M24,M3,M4,M5,M6,M7,M8,M9
ASV2010,10,2,2,6,1,2,4,6,0,0,0,16,4,2,2,1,0,3,686,5096,2314
ASV2011,0,0,0,0,0,7204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2012,0,0,0,0,0,287,0,216,0,0,0,0,0,0,223,0,0,0,411,0,0
ASV2013,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2014,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2015,0,1,0,465,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
ASV2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0
ASV2017,1,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0
ASV2018,0,0,0,0,0,0,0,2,0,3,0,0,0,0,269,0,1,0,0,0,0
ASV2019,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0
ASV2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1
ASV2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0
ASV2022,0,0,127,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
ASV2023,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2024,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
ASV2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
ASV2026,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,5
ASV2028,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17
ASV2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7
ASV2031,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
ASV2033,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0
ASV2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12
ASV2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6
ASV2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,12
ASV2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,11
ASV2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,11
ASV2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,7
ASV2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7
ASV2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,16
ASV2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9
ASV2044,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2045,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6
ASV2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,8
ASV2048,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2049,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2050,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2051,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2052,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2053,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2054,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
ASV2055,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2056,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2057,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
