Name,organ,condition,Mouse,treatment,Sample Name
G9,Gut,HO,Jackson Labs,SPF,SPF HO
G10,Gut,HO,Jackson Labs,SPF,SPF HO
G11,Gut,HO,Jackson Labs,SPF,SPF HO
G12,Gut,HO,Jackson Labs,SPF,SPF HO
G13,Gut,NO,Jackson Labs,SPF,SPF NO
G14,Gut,NO,Jackson Labs,SPF,SPF NO
G15,Gut,NO,Jackson Labs,SPF,SPF NO
G16,Gut,NO,Jackson Labs,SPF,SPF NO
G48,Gut,HO,Jackson Labs,CPZ C. trop,CPZ C.trop HO
G49,Gut,HO,Jackson Labs,CPZ C. trop,CPZ C.trop HO
G50,Gut,HO,Jackson Labs,CPZ C. trop,CPZ C.trop HO
G51,Gut,HO,Jackson Labs,CPZ C. trop,CPZ C.trop HO
G52,Gut,NO,Jackson Labs,CPZ C. trop,CPZ C.trop NO
G53,Gut,NO,Jackson Labs,CPZ C. trop,CPZ C.trop NO
G54,Gut,NO,Jackson Labs,CPZ C. trop,CPZ C.trop NO
G55,Gut,NO,Jackson Labs,CPZ C. trop,CPZ C.trop NO
