Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV2,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV3,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV4,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,fibuligera
ASV5,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV6,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Acrodontium,neolitseae
ASV7,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV9,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV10,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,coudertii
ASV11,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV12,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV13,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,coudertii
ASV14,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,coudertii
ASV15,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV16,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
ASV17,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV18,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV19,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV21,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,ruberrimus
ASV22,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,fujikuroi
ASV23,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,bayanus
ASV24,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV26,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,saitoana
ASV28,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,nitens
ASV30,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,camargensis
ASV31,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,ruber
ASV33,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
ASV34,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,fragi
ASV35,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,holstii
ASV37,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,robusta
ASV38,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
ASV39,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV40,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV41,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,blackeriella
ASV42,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Cephaloascaceae,Cephaloascus,albidus
ASV43,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Babjevia,anomala
ASV45,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV47,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,irritans
ASV48,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
ASV49,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Pseudallescheria,NA
ASV52,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,adiposa
ASV59,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufiaceae_gen_Incertae_sedis,NA
ASV60,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,odintsovae
ASV64,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,racemosus
ASV71,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,circinelloides
