Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA
ASV2,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV3,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV4,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,tropicalis
ASV5,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
ASV8,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV9,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Zasmidium,NA
ASV10,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Resupinatus,NA
ASV11,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV12,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Acrodontium,neolitseae
ASV13,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV14,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,macrocarpum
ASV15,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,gamsii
ASV17,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,echinatum
ASV18,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV20,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV21,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,NA
ASV23,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Cyanodermella,NA
ASV24,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,diffluens
ASV25,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,guilliermondii
ASV26,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Oxyporus,NA
ASV27,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,versicolor
ASV28,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,ovatus
ASV29,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Montagnula,chromolaenicola
ASV30,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,citrinoviride
ASV31,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,ellipsoidea
ASV32,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA
ASV35,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,saitoana
ASV36,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Xenochalara,NA
ASV37,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Ascotricha,NA
ASV38,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,undulata
ASV39,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
ASV40,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas,NA
ASV41,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Ascotricha,chartarum
ASV42,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV43,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,roseipellis
ASV44,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV46,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidiaceae_gen_Incertae_sedis,NA
ASV47,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,diffluens
ASV48,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,holstii
ASV49,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,pilosum
ASV50,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,ruber
ASV53,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,odintsovae
ASV54,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,NA
ASV55,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV57,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,aeria
ASV59,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,NA
ASV60,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,chartarum
ASV61,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV62,Fungi,Ascomycota,NA,NA,NA,NA,NA
ASV66,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
ASV67,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,pilosum
ASV68,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,hydnoides
ASV69,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,herbarum
ASV71,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidiaceae_gen_Incertae_sedis,NA
ASV72,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,austrosinicum
ASV74,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,fujikuroi
ASV77,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,subcucurbitae
ASV78,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
ASV79,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,longibrachiatum
ASV83,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Ogataea,NA
ASV86,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV87,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,anomalus
ASV88,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV89,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,equiseti
ASV90,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,misumaiensis
ASV92,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,pilgerianum
ASV94,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA
ASV95,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,equiseti
ASV96,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,complicatum
