ASV,CTRL_1,Genus
ASV3517,0,Candida
ASV3518,1,Candida
ASV3519,64,Aureobasidium
ASV3520,53,Aureobasidium
ASV3521,45,Aureobasidium
ASV3522,0,Candida
ASV3523,0,Candida
ASV3524,0,Sistotrema
ASV3525,0,Rhodotorula
ASV3526,0,Trametes
ASV3527,0,Hanella
ASV3528,0,Candida
ASV3529,0,Cyberlindnera
ASV3530,0,Cystofilobasidium
ASV3531,0,Saitozyma
ASV3532,0,Rhodotorula
ASV3533,0,Lophiostoma
ASV3534,0,Stereum
ASV3535,0,Sistotrema
ASV3536,0,Knufia
ASV3537,0,Cephaloascus
ASV3538,0,Phaeosphaeria
ASV3539,0,Knufia
ASV3540,0,Rhodosporidiobolus
ASV3541,0,Komagataella
ASV3542,0,Minimedusa
ASV3543,0,Candida
ASV3544,0,Pseudopithomyces
ASV3545,0,Cutaneotrichosporon
ASV3546,0,Filobasidium
ASV3547,0,Rhodosporidiobolus
ASV3548,0,Dioszegia
ASV3549,0,Candida
ASV3550,0,Piskurozyma
ASV3551,694,Unidentified_Agaricales
ASV3552,0,Linnemannia
ASV3553,0,Solicoccozyma
ASV3554,0,Pleurotus
ASV3555,0,Candida
ASV3556,386,Saccharomyces
ASV3557,0,ganishia
ASV3558,0,Trechispora
ASV3559,0,Vararia
ASV3560,0,Xylobolus
ASV3561,0,Linnemannia
ASV3562,0,Blastocladiomycota_gen_Incertae_sedis
ASV3563,0,Candida
ASV3564,0,Debaryomyces
ASV3565,0,Komagataella
ASV3566,0,Athelia
ASV3567,0,Paraconiothyrium
ASV3568,0,Neosetophoma
ASV3569,123,Saccharomyces
ASV3570,0,Marasmius
ASV3571,0,Kazachstania
ASV3572,0,Phlebia
ASV3573,0,Blastocladiomycota_gen_Incertae_sedis
ASV3574,0,Minimedusa
ASV3575,0,Minimedusa
ASV3576,0,Unidentified_Lipomycetaceae
ASV3577,0,Candida
ASV3578,0,Curvibasidium
ASV3579,0,Hygrophorus
ASV3580,0,Minimedusa
ASV3581,0,Rhodotorula
