Name,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M2,M20,M21,M22,M23,M24,M3,M4,M5,M6,M7,M8,M9
ASV1,3912,77,25,8,7,6,1,2,31,5,0,0,2086,121,17,2,7,3,0,0,2,10,160,0
ASV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,778,326,3,0,0
ASV5,0,0,0,0,5,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0
ASV6,0,0,1,585,1,0,0,0,0,0,0,4,1,0,0,1,0,6,0,0,0,0,0,0
ASV7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,392,159,0,0,0
ASV8,0,0,17,0,0,0,0,0,1,0,0,0,315,21,7,0,0,0,0,13,0,0,11,0
ASV9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,255,93,0,0,0
ASV10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,235,80,0,0,0
ASV12,0,0,0,0,0,0,248,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ASV14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,63,0,0,0
ASV47,15,7,1,10,7,0,2,2,6,6,3,10,7,6,4,9,4,10,6,13,7,10,11,3
ASV63,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,43,0,0,0
ASV71,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASV77,2,0,0,0,0,1,0,0,0,0,0,8,83,0,2,0,0,0,0,0,0,6,21,0
ASV84,4,0,5,0,0,0,0,0,0,1,0,0,84,0,0,1,0,0,0,4,0,2,5,9
ASV85,3,6,1,15,1,13,4,7,0,1,0,25,0,0,1,6,13,0,12,1,1,1,0,4
ASV97,0,27,0,0,9,2,3,0,0,0,0,8,0,0,3,2,0,0,9,0,0,0,45,0
ASV108,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,22,0,0,0
ASV119,1,0,10,46,1,4,0,1,2,2,3,0,4,0,5,3,1,1,5,0,0,0,1,4
ASV175,0,1,6,0,0,1,0,0,11,0,0,0,37,0,1,1,5,0,1,1,0,0,12,0
ASV232,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
ASV264,0,0,0,4,3,0,0,0,18,0,0,0,16,10,5,0,1,0,0,2,0,0,0,0
ASV322,0,1,0,1,0,0,0,0,0,0,0,0,34,1,2,0,0,1,0,0,0,1,8,0
ASV327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,0,0,0
ASV347,1,1,0,0,0,0,0,1,4,2,1,3,2,3,2,6,2,2,13,2,1,0,0,0
ASV349,0,0,6,0,0,2,0,0,21,0,0,0,0,1,0,0,0,0,12,0,0,0,4,0
ASV384,0,4,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,3,0,0,1,0,20,0
ASV393,2,0,5,13,2,1,6,0,0,3,0,0,0,0,0,1,0,3,1,2,0,2,0,0
ASV396,0,1,35,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
ASV430,2,2,0,2,1,1,1,1,1,0,0,1,2,2,1,2,6,2,3,1,0,4,2,1
ASV452,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,7
ASV476,0,17,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,5
ASV491,0,3,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,12,0
ASV533,2,0,0,23,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3,0,0
ASV618,3,5,0,0,0,0,1,6,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0
ASV620,0,0,3,11,0,0,3,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,3
ASV649,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,2,0,0,10,1,0,0,1,0
ASV672,2,0,9,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0
ASV675,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
ASV676,0,0,0,16,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0
ASV706,0,9,1,1,1,1,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,0,2,1
ASV725,3,1,0,0,0,0,0,3,0,1,0,2,1,1,0,3,1,1,3,4,0,0,0,0
ASV732,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV748,0,10,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
ASV749,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0
ASV751,0,0,15,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV752,0,0,2,8,2,0,0,0,2,1,0,0,3,0,0,0,0,1,1,3,0,0,0,0
ASV761,0,0,0,0,0,0,0,5,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
ASV776,1,3,0,0,1,3,0,0,0,0,0,1,1,0,0,5,0,0,0,1,0,1,3,2
ASV783,0,0,8,7,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ASV801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
ASV806,0,3,0,2,0,0,0,4,1,2,0,1,1,0,0,0,1,0,1,0,0,0,2,3
ASV809,0,0,1,0,3,1,1,2,1,1,0,1,0,3,0,1,1,0,3,0,0,0,1,1
ASV820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,0,0,0,0,0,0
ASV826,2,0,0,0,8,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
ASV829,0,0,0,4,0,0,7,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0
ASV852,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0
ASV856,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0
ASV857,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV858,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,13,2,1,0,0,0,0,0,0
ASV878,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0,0
ASV930,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ASV936,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
ASV951,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0
ASV954,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,6,0,0,0,0
ASV964,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0
ASV965,0,1,2,0,0,4,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0
ASV967,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,2
ASV968,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
ASV971,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV979,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV981,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0
ASV988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ASV999,2,0,4,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
ASV1001,0,0,3,4,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV1004,0,0,1,2,0,0,0,0,0,0,2,0,3,2,1,1,1,0,1,0,0,0,0,0
