Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV2010,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,
ASV2011,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,foliicola
ASV2012,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV2013,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,foliicola
ASV2014,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,halotolerans
ASV2015,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV2016,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,equiseti
ASV2017,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor
ASV2018,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV2019,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,,
ASV2020,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,fujikuroi
ASV2021,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,sphaerospermum
ASV2022,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,cerevisiae
ASV2023,Fungi,Basidiomycota,Agaricomycetes,Russulales,Wrightoporiaceae,Wrightoporia,austrosinensis
ASV2024,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,rosae
ASV2025,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,sphaerospermum
ASV2026,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,graminearum
ASV2027,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,
ASV2028,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,foliicola
ASV2029,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,
