"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV18123","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","tenuissimum"
"ASV18378","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Mycothermus","thermophilus"
"ASV18474","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18494","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pyronemataceae_gen_Incertae_sedis",NA
"ASV18537","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",NA
"ASV18548","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV18552","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"ASV18561","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","flocculosus"
"ASV18573","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium",NA
"ASV18574","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Mycogone",NA
"ASV18575","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces",NA
"ASV18588","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_fam_Incertae_sedis","Panaeolina","foenisecii"
"ASV18591","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18603","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA
"ASV18605","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","lucidum"
"ASV18608","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","cabanerensis"
"ASV18609","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"ASV18610","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"ASV18614","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"ASV18620","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporales_fam_Incertae_sedis","Polyporales_gen_Incertae_sedis",NA
"ASV18622","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","GS11_fam_Incertae_sedis","GS11_gen_Incertae_sedis",NA
"ASV18634","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV18635","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","javanica"
"ASV18638","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna",NA
"ASV18652","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV18654","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae",NA,NA
"ASV18655","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Peroneutypa","scoparia"
"ASV18656","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","sarcochroum"
"ASV18658","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","vulpinella"
"ASV18659","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neohendersoniaceae","Brevicollum","hyalosporum"
"ASV18662","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Melanconidaceae","Melanconiella",NA
"ASV18665","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Lichenomphalia","umbellifera"
"ASV18666","Fungi","Basidiomycota","Dacrymycetes","Unilacrymales","Unilacrymales_fam_Incertae_sedis","Unilacrymales_gen_Incertae_sedis",NA
"ASV18670","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis",NA
"ASV18671","Fungi","Ascomycota","Sordariomycetes","Pseudodactylariales","Pseudodactylariaceae","Pseudodactylaria",NA
"ASV18678","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Onygenales_gen_Incertae_sedis",NA
"ASV18680","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",NA
"ASV18683","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",NA,NA
"ASV18684","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae",NA,NA
